"Please Note That This Is A Working Document And Subject To Change. Approved courses may not guarantee eligibility for enrollment- this ultimately will be determined by schools/ sites.
",,,,,,,,,
This sheet is a list of all courses that have been approved as counting towards particular degree requirements. It will continue to expand as more courses are evaluated and approved.,,,,,,,,,
"If you would like to check on a course that is not yet on the sheet, please email your advisor with the course number, name, and what degree requirement(s) you wish to count it for.",,,,,,,,,
Cannot find a course? Submit the form below for a course evaluation. https://shanghai.nyu.edu/advising/academic-procedures/course-evaluation,,,,,,,,,
,,,,,,,,,
Course Number,Course Title,Credit,Major/Minor,Core,(GN) Minor,Note,Date Added,Reg Office,
"	
BIOL-UA 500,Environmental and Molecular Analysis of a Disease,4,Biology Elective,,,,10/30/2015,11/6/2015,
BIOL-UA 560 ,Plant Science and Biotechnology,4,Biology Elective,,,,11/30/2020,12/9/2020,
BIOL-UA 58,Evolution,4,Biology Elective,,,Equivalent to BIOL-SHU 58 Evolution,10/30/2015,11/9/2015,
BIOL-UA 63,Fundamentals of Ecology,4,Biology Elective,,,,10/30/2015,11/9/2015,
BIOL-UA 64 ,Geographic Information Systems for Ecology,4,Biology elective,,,,,1/12/2022,
BIOL-UA 66 ,Biogeochemistry of Global Change,4,Biology Elective ,,,,,11/19/2020,
BIOL-UA 7 ,Practical Human Physiology,4,,Experimental Discovery in the Natural World,,,10/30/2015,11/9/2015,
BIOL-UA 70 ,At The Bench: Microbiology,4,Biology Elective,,,,4/7/2016,4/8/2016,
BIOL-UA 700 ,Evolutionary Zoology,4,Biology Major Elective,,,,9/11/2017,9/11/2017,
BIOL-UA 997,Independent Study,4,Biology Major Elective,,,"Note: For BIOL-UA 997, 998 Independent Study students must take the 4-credit course in one semester in order to satisfy the major elective requirement.",10/25/2016,11/3/2016,
BIOL-UA 998,Independent Study,4,Biology Major Elective,,,"Note: For BIOL-UA 997, 998 Independent Study students must take the 4-credit course in one semester in order to satisfy the major elective requirement.",10/25/2016,11/3/2016,
BMSC-GA 2604 ,Bioinformatics,3,"DS: Courses for Concentration in Genomics
",,,,3/31/2022,4/19/2022,
BSPA-UB 44,Sustainable Business & the New Economy,3,Non-finance&Non-marketing Elective,,,,11/27/2017,12/6/2017,
BSPA-UB 46,Understanding the Clean Energy Transition,3,Business (non-finance/non-marketing),,,Approved by Yuxin (2/4/20),2/4/2020,2/10/2020,
BSPA-UB 47 ,Global Business and Human Rights,3,Business (Non-Finance/Non-marketing elective),,,,,12/2/2019,
BSPA-UB 50,Entrepreneurship in Sustainable Protein,3,Business (non-finance/non-marketing),,,Approval by Yuxin (2/03/20),2/3/2020,2/10/2020,
BSPA-UB 51,Marketing for Impact: Strategies for Sustainable Business,3,Non-finance&Non-marketing Elective,,,,11/13/2017,11/14/2017,
BSPA-UB 68 ,Sustainability for Competitive Advantage,3,Non-finance&Non-marketing Elective,,,,3/21/2018,3/23/2018,
CAM-UY 2204 ,Disability Studies,4,IMA Elective - Art & Design,,,,6/6/2018,6/6/2018,
CAMS-UA 101,Child and Adolescent Psychopathology,4,,"Science, Technology, and Society",,,12/17/2015,12/30/2015,
